MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF7-R1-2795-01,676,12.25,VERTEX 50,1054,,,,,,,5.5,,16.5,VERTEX 70,1125,,,,,,,5.5,,1.5
MAF7-R1-2795-05,850,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1055,,,,,,,5.5,,1
MAF7-R1-2795-05,851,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1055,,,,,,,5.5,,1
MAF7-R1-2795-05,936,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,3
MAF7-R1-2795-05,937,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,2
MAF7-R1-2795-05,938,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1054,,,,,,,5.5,,1
MAF7-R1-2795-05,939,12.25,VERTEX 50,1054,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,4
MAF7-R1-2795-05,940,12.25,VERTEX 50,1054,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,4
MAF7-R1-2795-05,1004,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,3
MAF7-R1-2795-08,818,12.25,VERTEX 50,1125,,,,,,,5.5,,12,VERTEX 70,665,,,,,,,5.5,,1.5
MAF7-R1-2795-08,820,12.25,VERTEX 50,1085,,,,,,,5.5,,15.5,VERTEX 70,1020,,,,,,,5.5,,1
MAF7-R1-2795-08,821,12.25,VERTEX 50,1085,,,,,,,5.5,,15.5,VERTEX 70,1025,,,,,,,5.5,,1
MAF7-R1-2795-08,822,12.25,VERTEX 50,1075,,,,,,,5.5,,17,VERTEX 70,1175,,,,,,,5.5,,1
MAF7-R1-2795-08,823,12.25,VERTEX 50,1075,,,,,,,5.5,,17,VERTEX 70,1175,,,,,,,5.5,,1
MAF7-R1-2795-08,824,12.25,VERTEX 50,1105,,,,,,,5.5,,17,VERTEX 70,1173,,,,,,,5.5,,1
MAF7-R1-2795-08,825,12.25,VERTEX 50,1135,,,,,,,5.5,,17,VERTEX 70,1175,,,,,,,5.5,,1
MAF7-R1-2795-08,826,12.25,VERTEX 50,1185,,,,,,,5.5,,17,VERTEX 70,1175,,,,,,,5.5,,1
MAF7-R1-2795-08,916,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,3
MAF7-R1-2795-08,917,12.25,VERTEX 50,1165,,,,,,,5.5,,17,VERTEX 70,1175,,,,,,,5.5,,1
MAF7-R1-2795-08,918,12.25,VERTEX 50,1165,,,,,,,5.5,,16.5,VERTEX 70,1125,,,,,,,5.5,,1
MAF7-R1-2795-08,919,12.25,VERTEX 50,1135,,,,,,,5.5,,16,VERTEX 70,1075,,,,,,,5.5,,1
MAF7-R1-2795-08,920,12.25,VERTEX 50,1135,,,,,,,5.5,,17,VERTEX 70,1175,,,,,,,5.5,,1
MAF7-R1-2795-08,921,12.25,VERTEX 50,1105,,,,,,,5.5,,17,VERTEX 70,1175,,,,,,,5.5,,1
MAF7-R1-2795-08,922,12.25,VERTEX 50,1115,,,,,,,5.5,,16.6,VERTEX 50,1115,,,,,,,5.5,,
MAF7-R1-2795-08,923,12.25,VERTEX 50,1115,,,,,,,5.5,,16.6,VERTEX 50,1115,,,,,,,5.5,,
MAF7-R1-2795-08,924,12.25,VERTEX 50,1125,,,,,,,5.5,,16.7,VERTEX 50,1125,,,,,,,5.5,,
MAF7-R1-2795-08,925,12.25,VERTEX 50,1185,,,,,,,5.5,,17.7,VERTEX 50,1225,,,,,,,5.5,,
MAF7-R1-2795-08,926,12.25,VERTEX 50,1225,,,,,,,5.5,,17.7,VERTEX 50,1225,,,,,,,5.5,,
MAF7-R1-2795-08,1000,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,3
MAF7-R1-2795-08,1001,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,4
MAF7-R1-2795-08,1002,12.25,VERTEX 50,1105,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,4
MAF7-R1-2795-08,1003,12.25,VERTEX 50,1125,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,3
MAF7-R1-2795-08,1004,12.25,VERTEX 50,1115,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,3
MAF7-R1-2795-08,1005,12.25,VERTEX 50,1123,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,3
MAF7-R1-2795-08,1006,12.25,VERTEX 50,1105,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,2
MAF7-R1-2795-08,1007,12.25,VERTEX 50,1145,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,4
MAF7-R1-2795-08,1008,12.25,VERTEX 50,1165,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,4
MAF7-R1-2795-08,1009,12.25,VERTEX 50,1175,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,4
MAF7-R1-2795-08,1010,12.25,VERTEX 50,1195,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,5
MAF7-R1-2795-08,1011,12.25,VERTEX 50,1195,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,3
MAF7-R1-2795-08,1012,12.25,VERTEX 50,1185,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,4
MAF7-R1-2795-08,1013,12.25,VERTEX 50,1195,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,4
MAF7-R1-2795-08,1014,12.25,VERTEX 50,1195,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,2
MAF7-R1-2795-08,1015,7.875,VERTEX 50,1195,,,,,,,5.5,,17,VERTEX 70,460,,,,,,,5.5,,2
MAF7-R1-2795-08,1016,12.25,VERTEX 50,1185,,,,,,,5.5,,17,VERTEX 70,1173,,,,,,,5.5,,2
MAF7-R1-2795-08,1017,12.25,VERTEX 50,1175,,,,,,,5.5,,17,VERTEX 70,1175,,,,,,,5.5,,2
MAF7-R1-2795-08,1018,12.25,VERTEX 50,1185,,,,,,,5.5,,17.3,VERTEX 70,1185,,,,,,,5.5,,0.5
MAF7-R1-2795-08,1020,12.25,VERTEX 50,1165,,,,,,,5.5,,17.3,VERTEX 70,1165,,,,,,,5.5,,0.6
MAF7-R1-2795-08,1021,12.25,VERTEX 50,1175,,,,,,,5.5,,17.1,VERTEX 70,1175,,,,,,,5.5,,0.7
MAF7-R1-2795-08,1022,12.25,VERTEX 50,1185,,,,,,,5.5,,17.3,VERTEX 70,1185,,,,,,,5.5,,0.5
MAF7-R1-2795-08,1023,12.25,VERTEX 50,1185,,,,,,,5.5,,17.3,VERTEX 70,1185,,,,,,,5.5,,0.5
MAF7-R1-2795-08,1024,12.25,VERTEX 50,1155,,,,,,,5.5,,17,VERTEX 70,1155,,,,,,,5.5,,0.5
MAF7-R1-2795-08,1025,12.25,VERTEX 50,1175,,,,,,,5.5,,17.3,VERTEX 70,1215,,,,,,,5.5,,0.5
MAF7-R1-2795-08,1026,12.25,VERTEX 50,1356,,,,,,,5.5,,19,VERTEX 70,1356,,,,,,,5.5,,0.5
MAF7-R1-2795-08,1027,12.25,VERTEX 50,1215,,,,,,,5.5,,17.6,VERTEX 70,1215,,,,,,,5.5,,0.6
MAF7-R1-2795-08,1101,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,2
MAF7-R1-2795-08,1102,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,3
MAF7-R1-2795-08,1103,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,4
MAF7-R1-2795-08,1104,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,3
MAF7-R1-2795-08,1105,12.25,VERTEX 50,1054,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,4
MAF7-R1-2795-08,1106,12.25,VERTEX 50,1054,,,,,,,5.5,,16,VERTEX 70,1070,,,,,,,5.5,,4
MAF7-R1-2795-08,1107,12.25,VERTEX 50,1095,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,4
MAF7-R1-2795-08,1108,12.25,VERTEX 50,1115,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,3
MAF7-R1-2795-08,1109,12.25,VERTEX 50,1155,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,2
MAF7-R1-2795-08,1110,12.25,VERTEX 50,1165,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,4
MAF7-R1-2795-08,1111,12.25,VERTEX 50,1165,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,4
MAF7-R1-2795-08,1112,12.25,VERTEX 50,1195,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,4
MAF7-R1-2795-08,1113,12.25,VERTEX 50,1185,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,3
MAF7-R1-2795-08,1114,12.25,VERTEX 50,1185,,,,,,,5.5,,17,VERTEX 70,1170,,,,,,,5.5,,3
MAF7-R1-2795-08,1115,12.25,VERTEX 50,1195,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,3
MAF7-R1-2795-08,1116,12.25,VERTEX 50,1205,,,,,,,5.5,,16.5,VERTEX 70,1120,,,,,,,5.5,,3
MAF7-R1-2795-08,1117,12.25,VERTEX 50,1195,,,,,,,5.5,,17,VERTEX 70,1175,,,,,,,5.5,,3
MAF7-R1-2795-08,1118,12.25,VERTEX 50,1195,,,,,,,5.5,,17.4,VERTEX 50,1195,,,,,,,5.5,,
MAF7-R1-2795-08,1119,12.25,VERTEX 50,1195,,,,,,,5.5,,17.4,VERTEX 50,1195,,,,,,,5.5,,
MAF7-R1-2795-08,1120,12.25,VERTEX 50,1185,,,,,,,5.5,,17.3,VERTEX 50,1185,,,,,,,5.5,,
MAF7-R1-2795-08,1121,12.25,VERTEX 50,1195,,,,,,,5.5,,17.4,VERTEX 50,1195,,,,,,,5.5,,
MAF7-R1-2795-08,1122,12.25,VERTEX 50,1195,,,,,,,5.5,,17.4,VERTEX 50,1195,,,,,,,5.5,,
MAF7-R1-2795-08,1123,12.25,VERTEX 50,1175,,,,,,,5.5,,17.2,VERTEX 50,1175,,,,,,,5.5,,
MAF7-R1-2795-08,1124,12.25,VERTEX 50,1175,,,,,,,5.5,,17.2,VERTEX 50,1175,,,,,,,5.5,,
MAF7-R1-2795-08,1125,12.25,VERTEX 50,1175,,,,,,,5.5,,17.2,VERTEX 50,1175,,,,,,,5.5,,
MAF7-R1-2795-08,1126,12.25,VERTEX 50,1185,,,,,,,5.5,,17.3,VERTEX 50,1186,,,,,,,5.5,,
