MALLA,ID POZO,DIAMETRO PLG,CARGA FONDO DISENO ,KG FONDO DISENO ,AIRE FONDO DISENO ,CARGA COLUMNA  DISENO,KG COLUMNA DISENO,AIRE INTERMEDIO DISENO ,GRAVILLA INTERMEDIO DISENO ,AIRE SUPERIOR DISENO,TACO GRAVILLA DISENO ,SECUENCIA DETONACION DISENO,PROFUNDIDAD REAL,CARGA FONDO REAL ,KG FONDO REAL ,AIRE FONDO REAL ,CARGA COLUMNA REAL,KG COLUMNA REAL,AIRE INTERMEDIO REAL ,GRAVILLA INTERMEDIO REAL ,AIRE SUPERIOR REAL,TACO GRAVILLA REAL ,SECUENCIA DETONACION REAL,AGUA
MAF10-N-3260-08,101,12.25,VERTEX 50,1155,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,102,12.25,VERTEX 50,1155,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,201,12.25,VERTEX 50,1155,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,202,12.25,VERTEX 50,1155,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,203,12.25,VERTEX 50,1155,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,204,12.25,VERTEX 50,1155,,,,0.0,,,5.5,17,VERTEX 50,1155,,,,,0,,,5.5,,
MAF10-N-3260-08,205,12.25,VERTEX 50,1155,,,,0.0,,,5.5,15,VERTEX 50,952,,,,,0,,,5.5,,
MAF10-N-3260-08,206,12.25,VERTEX 50,1252,,,,0.0,,,5.5,12,VERTEX 50,654,,,,,0,,,5.5,,
MAF10-N-3260-08,207,12.25,VERTEX 50,1155,,,,0.0,,,5.5,16,VERTEX 50,1052,,,,,0,,,5.5,,
MAF10-N-3260-08,208,12.25,VERTEX 50,1239,,,,0.0,,,5.5,16,VERTEX 50,1052,,,,,0,,,5.5,,
MAF10-N-3260-08,209,12.25,VERTEX 50,1155,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,301,12.25,VERTEX 50,1155,,,,0.0,,,5.5,16.5,VERTEX 50,1100,,,,,0,,,5.5,,
MAF10-N-3260-08,302,12.25,VERTEX 50,1155,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,303,12.25,VERTEX 50,1155,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,304,12.25,VERTEX 50,1209,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,305,12.25,VERTEX 50,1116,,,,0.0,,,5.5,,,,,,,,,,,,,
MAF10-N-3260-08,306,12.25,VERTEX 50,1196,,,,0.0,,,5.5,17.4,VERTEX 50,1195,,,,,0,,,5.5,,
